,Age,Count,Gender
0,100+,1143,Female
1,100+,-245,Male
2,99,13982,Female
3,99,-3532,Male
4,94,83648,Female
5,94,-25000,Male
6,89,270391,Female
7,89,-96760,Male
8,84,562079,Female
9,84,-233511,Male
10,79,897054,Female
11,79,-505414,Male
12,74,1184822,Female
13,74,-834483,Male
14,69,1335421,Female
15,69,-1057050,Male
16,64,1357710,Female
17,64,-1170440,Male
18,59,966725,Female
19,59,-890595,Male
20,54,1643614,Female
21,54,-1566282,Male
22,49,1636973,Female
23,49,-1645015,Male
24,44,1627594,Female
25,44,-1678230,Male
26,39,1493973,Female
27,39,-1569684,Male
28,34,1447777,Female
29,34,-1552014,Male
30,29,2067653,Female
31,29,-2184132,Male
32,24,2066699,Female
33,24,-2119326,Male
34,19,2049600,Female
35,19,-2108072,Male
36,14,2067491,Female
37,14,-2160706,Male
38,9,2027909,Female
39,9,-2124820,Male
40,4,2011965,Female
41,4,-2110489,Male
